run_id,final_state,target_character,pe,gpt_model,branch_factor,exp_name,evaluator,total_iterations,n_self_alignment,feedback_type,feedback_input_type,total_timesteps,n_aux_worst,n_aux_best,reward_feature,fewshot,problem,seed,Evaluation/llm_iteration,Evaluation/acc_imp_perc,Evaluation/exist_imp_perc,Evaluation/reach_imp_perc,Evaluation/path_length,Evaluation/fn_imp_perc,Evaluation/fp_imp_perc,Evaluation/tn_imp_perc,Evaluation/tp_imp_perc,Evaluation/solvability,Evaluation/playability,score,Evaluation/naive_playability
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,3,0.3222222626209259,0.8333333730697632,0.8333333730697632,26.000001907348633,2.033333539962769,0.0,0.7333333492279053,0.2333333492279052,0.3666666746139526,1.0,0.3222222626209259,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,4,0.4444444477558136,0.7666667103767395,0.7666667103767395,26.000001907348633,1.3333333730697632,0.3333333432674408,1.0,0.3333333432674408,0.6666666865348816,1.0,0.4444444477558136,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,5,0.3333333134651184,1.0,1.0,26.000001907348633,0.0333333350718021,1.9666668176651,0.0333333350718021,0.9666666984558104,1.0,1.0,0.3333333134651184,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,6,0.5333333611488342,0.9666666984558104,0.9333333969116212,26.066667556762695,0.8000000715255737,0.6000000238418579,0.9333333969116212,0.6666666865348816,0.7333333492279053,1.0,0.5333333611488342,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,1,0.0222222246229648,0.8500000238418579,0.1166666746139526,26.0,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,2,0.055555559694767,0.7166666984558105,0.2666666805744171,26.399999618530273,2.8333334922790527,0.0,0.1000000089406967,0.0666666701436042,0.1000000089406967,0.1666666716337204,0.055555559694767,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,3,0.0111111123114824,0.4000000357627868,0.0666666701436042,31.0,2.9666669368743896,0.0,0.0333333350718021,0.0,0.0333333350718021,0.0666666701436042,0.0111111123114824,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,4,0.0444444492459297,0.4333333671092987,0.1833333373069763,26.399999618530273,2.866666793823242,0.0,0.1333333402872085,0.0,0.1333333402872085,0.3333333432674408,0.0444444492459297,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,5,0.0,0.6166666746139526,0.1333333402872085,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,2,6,0.1000000089406967,0.4000000357627868,0.1666666716337204,26.66666603088379,2.700000047683716,0.0,0.2000000178813934,0.1000000089406967,0.2000000178813934,0.3000000119209289,0.1000000089406967,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-3,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,3,1,0.0,0.6500000357627869,0.1833333373069763,26.0,3.000000238418579,0.0,0.0,0.0,0.0,0.1333333402872085,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-3,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,3,2,0.0,0.9333333969116212,0.2166666835546493,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-3,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,3,3,0.0111111123114824,0.3833333551883697,0.1000000089406967,26.0,2.9666669368743896,0.0,0.0333333350718021,0.0,0.0333333350718021,0.0666666701436042,0.0111111123114824,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-3,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,3,4,0.0,0.0500000044703483,0.0500000044703483,26.000001907348633,3.000000238418579,0.0,0.0,0.0,0.0,1.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-3,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,3,5,0.311111181974411,0.6166666746139526,0.6166666746139526,26.000001907348633,2.0,0.0666666701436042,0.4666666984558105,0.4666666984558105,0.5333333611488342,1.0,0.311111181974411,
